id,id_item_composto,id_inventario,id_coletor,quantidade_encontrada,status_componente,observacao_coleta,data_coleta,localizacao_encontrada
452,1664,2,11,1,COMPLETO,,2026-01-13 10:35:18.168769,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
453,4581,2,11,1,COMPLETO,,2026-01-13 10:35:31.518607,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
364,1609,2,12,1,COMPLETO,,2026-01-13 10:35:56.760658,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
455,4521,2,11,1,COMPLETO,,2026-01-13 10:36:10.637936,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
456,4500,2,11,1,COMPLETO,,2026-01-13 10:36:19.949531,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
457,4524,2,11,1,COMPLETO,,2026-01-13 10:36:31.791737,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
458,4504,2,11,1,COMPLETO,,2026-01-13 10:36:40.126238,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
459,1585,2,11,1,COMPLETO,,2026-01-13 10:36:50.550624,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
460,1663,2,11,1,COMPLETO,,2026-01-13 10:40:09.380286,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
461,1677,2,11,1,COMPLETO,,2026-01-13 10:40:17.458618,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
462,1613,2,11,1,COMPLETO,,2026-01-13 10:40:26.833492,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
463,1325,2,11,1,COMPLETO,,2026-01-13 10:41:11.369960,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
464,1181,2,11,1,COMPLETO,,2026-01-13 10:41:25.953028,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
465,1197,2,11,1,COMPLETO,,2026-01-13 10:41:32.192679,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
466,1597,2,11,1,COMPLETO,,2026-01-13 10:41:38.835811,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
467,4538,2,11,1,COMPLETO,,2026-01-13 10:41:46.582189,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
468,4488,2,11,1,COMPLETO,,2026-01-13 10:42:10.401962,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
469,4515,2,11,1,COMPLETO,,2026-01-13 10:42:18.297446,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
470,1367,2,11,1,COMPLETO,,2026-01-13 10:42:25.568545,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
471,1131,2,11,1,COMPLETO,,2026-01-13 10:42:35.488335,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
472,1437,2,11,1,COMPLETO,,2026-01-13 10:42:41.904073,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
473,4512,2,11,1,COMPLETO,,2026-01-13 10:42:48.330245,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
474,1621,2,11,1,COMPLETO,,2026-01-13 10:42:55.736957,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
475,1731,2,11,1,COMPLETO,,2026-01-13 10:43:05.192471,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
476,4517,2,11,1,COMPLETO,,2026-01-13 10:43:13.200648,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
477,1631,2,11,1,COMPLETO,,2026-01-13 10:43:19.680118,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
478,1287,2,11,1,COMPLETO,,2026-01-13 10:43:29.888208,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
479,1227,2,11,1,COMPLETO,,2026-01-13 10:44:01.631061,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
480,4513,2,11,1,COMPLETO,,2026-01-13 10:44:08.071236,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
481,1389,2,11,1,COMPLETO,,2026-01-13 10:44:16.915068,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
482,1369,2,11,1,COMPLETO,,2026-01-13 10:44:25.735860,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
483,4486,2,11,1,COMPLETO,,2026-01-13 10:44:33.790239,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
484,4544,2,11,1,COMPLETO,,2026-01-13 10:44:42.015538,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
276,1217,2,12,1,COMPLETO,,2026-01-13 14:01:34.501643,SALA DE AULA B2 - SALA DE AULA B2(IFMT - PDL)
486,1244,2,11,1,COMPLETO,,2026-01-13 14:01:52.753330,SALA DE AULA B2 - SALA DE AULA B2(IFMT - PDL)
487,1202,2,11,1,COMPLETO,,2026-01-13 14:02:06.322199,SALA DE AULA B2 - SALA DE AULA B2(IFMT - PDL)
488,1232,2,11,1,COMPLETO,,2026-01-13 14:05:05.669407,SALA DE AULA B2 - SALA DE AULA B2(IFMT - PDL)
489,1284,2,11,1,COMPLETO,,2026-01-13 14:05:16.746713,SALA DE AULA B2 - SALA DE AULA B2(IFMT - PDL)
